Hom,medLongSeg,CV,nSeg,nSegNum,Base,BaseNum,L,Lprop,gurobiMinMax,gurobiT1,gurobiT2,greedyMinMax,greedyT1,greedyT2,improvedMinMax,improvedT1,improvedT2,errorGreedyAbs,errorGreedy,errorImprovedAbs,errorImproved,kGreedy,kImproved
0,10,0.2,0,15,1,1.529147982,0,0.193387751,3227.501334,2,2,3244.813914,1,2,3231.842505,2,2,17.31257958,0.005364081,4.341170588,0.001345056,1.005364081,1.001345056
0,10,0.2,0,19,0,0.937743191,0,0.32138454,1542.968573,1,1,1706.679096,1,1,1706.679096,1,1,163.7105226,0.106101009,163.7105226,0.106101009,1.106101009,1.106101009
0,10,0.2,0,19,1,1.138655462,0,0.201239956,1693.83318,1,1,1693.83318,1,1,1693.83318,1,1,0,0,0,0,1,1
0,10,0.2,0,13,1,1.731261426,0,0.111659871,2341.03458,1,1,2341.03458,1,1,2341.03458,1,1,0,0,0,0,1,1
0,10,0.2,0,17,0,0.461426492,1,0.887898305,1548.415865,0,0,1750.767232,1,1,1750.767232,1,1,202.3513669,0.13068283,202.3513669,0.13068283,1.13068283,1.13068283
0,10,0.2,0,18,0,0.00989011,1,0.362636307,1820.092717,1,1,1820.97627,1,1,1820.092775,2,1,0.883552371,0.000485444,5.75E-05,3.16E-08,1.000485444,1.000000032
0,10,0.2,0,18,0,0.268324607,0,0.319523343,1586.08453,1,1,1786.544048,0,1,1586.533194,1,1,200.4595183,0.126386403,0.44866408,0.000282875,1.126386403,1.000282875
0,10,0.2,0,16,0,0.877800407,1,0.76994768,1507.916653,1,1,1507.916653,1,1,1507.916653,1,1,0,0,0,0,1,1
0,10,0.2,0,16,1,1.165236052,1,0.457154509,1694.272505,1,1,1716.604175,1,1,1716.604175,1,1,22.3316701,0.013180684,22.3316701,0.013180684,1.013180684,1.013180684
0,10,0.2,0,18,1,1.597402597,0,0.020194022,4465.141123,2,2,4571.940844,1,2,4468.511738,2,2,106.7997205,0.023918554,3.370614746,0.000754873,1.023918554,1.000754873
0,10,0.2,0,17,1,1.004319654,0,0.069624634,2682.017235,1,1,2682.017235,1,1,2682.017235,1,1,0,0,0,0,1,1
0,10,0.2,0,18,1,1.2075,1,0.885859435,2616.867601,1,1,3031.317785,0,1,2622.261976,1,1,414.4501837,0.158376443,5.394375384,0.002061386,1.158376443,1.002061386
0,10,0.2,0,17,1,1.160883281,0,0.178668351,2094.038833,1,1,2130.688039,1,1,2130.688039,1,1,36.64920651,0.017501684,36.64920651,0.017501684,1.017501684,1.017501684
0,10,0.2,0,18,1,1.535508637,1,0.886276363,2144.729551,1,1,2144.729551,1,1,2144.729551,1,1,0,0,0,0,1,1
0,10,0.2,0,18,1,1.1725,1,0.922402231,2577.811762,1,1,3000.26772,0,1,2579.305453,1,1,422.4559576,0.163881616,1.493690762,0.000579441,1.163881616,1.000579441
0,10,0.2,0,17,0,0.913680782,1,0.981165041,1828.290477,1,1,2450.813607,0,1,1828.290477,1,1,622.5231298,0.340494652,0,0,1.340494652,1
